Sample Number,Name,Depth From,Depth To,X,Y,Z,Length,Al2O3,Fe,Fe (raw + gaussian),final lithology,final lithology-sel[Rich ore],final lithology-sel[Poor ore],Indicator rich ore,Mn,P,SiO2
1,Line#1,0,19.15,1400.00,-195.00,794.63,19.15,1.16,66.18,-0.24,Rich ore,1,0,1.00,0.11,0.11,0.53
2,Line#1,19.15,40.24,1400.00,-195.00,774.51,21.09,,34.92,,Poor ore,0,1,0.00,0.41,0.13,
3,Line#1,40.24,55.24,1400.00,-195.00,756.47,15,0.64,68.77,2.23,Rich ore,1,0,1.00,0.18,0.02,0.24
4,Line#1,55.24,70.24,1400.00,-195.00,741.47,15,0.52,68.65,1.96,Rich ore,1,0,1.00,0.24,0.01,0.28
5,Line#1,70.24,85.24,1400.00,-195.00,726.47,15,0.95,67.89,0.87,Rich ore,1,0,1.00,0.35,0.02,0.30
6,Line#1,85.24,100.89,1400.00,-195.00,711.14,15.65,0.76,67.92,0.92,Rich ore,1,0,1.00,0.42,0.02,0.36
7,Line#1,100.89,103.19,1400.00,-195.00,702.17,2.3,,,,,0,0,,,,
8,Line#1,103.19,118.24,1400.00,-195.00,693.50,15.05,1.63,64.36,-0.92,Rich ore,1,0,1.00,1.90,0.04,0.59
9,Line#1,118.24,133.24,1400.00,-195.00,678.47,15,15.40,28.95,,Poor ore,0,1,0.00,1.15,0.04,20.50
10,Line#1,133.24,144.46,1400.00,-195.00,665.36,11.22,,14.30,,Poor ore,0,1,0.00,0.46,0.01,
11,Line#2,0,15,1003.00,187.26,674.20,15,0.94,64.56,-0.87,Rich ore,1,0,1.00,0.09,0.26,0.54
12,Line#2,15,26.2322,1003.00,180.72,662.83,11.2322,0.89,65.63,-0.47,Rich ore,1,0,1.00,0.06,0.20,0.30
13,Line#2,26.2322,27.764,1003.00,177.54,657.30,1.53183,,,,,0,0,,,,
14,Line#2,27.764,33.5874,1003.00,175.71,654.11,5.82345,,,,Rich ore,1,0,1.00,,,
15,Line#2,33.5874,34.5909,1003.00,174.01,651.15,1.00344,,,,,0,0,,,,
16,Line#2,34.5909,42.6631,1003.00,171.74,647.22,8.0722,0.64,68.01,1.02,Rich ore,1,0,1.00,0.06,0.06,0.76
17,Line#2,42.6631,44.1279,1003.00,169.37,643.08,1.46485,,,,,0,0,,,,
18,Line#2,44.1279,49.4763,1003.00,167.67,640.13,5.34839,,,,Rich ore,1,0,1.00,,,
19,Line#2,49.4763,50.9995,1003.00,165.95,637.15,1.52315,,,,,0,0,,,,
20,Line#2,50.9995,54.6101,1003.00,164.67,634.93,3.61066,,,,Rich ore,1,0,1.00,,,
21,Line#2,54.6101,54.8074,1003.00,163.73,633.28,0.197231,,,,,0,0,,,,
22,Line#2,54.8074,61.0873,1003.00,162.11,630.47,6.27988,,,,Rich ore,1,0,1.00,,,
