X,Y,V,U,T
11,8,0.0,,waste
8,30,0.0,,waste
9,48,224.4,,waste
8,69,434.4,,waste
9,90,412.1,,waste
10,110,587.2,,waste
9,129,192.3,,waste
11,150,31.3,,waste
10,170,388.5,,waste
8,188,174.6,,waste
9,209,187.8,,waste
10,231,82.1,,ore
11,250,81.1,,ore
10,269,124.3,,waste
8,288,188.0,,waste
31,11,28.7,,waste
29,29,78.1,,waste
28,51,292.1,,waste
31,68,895.2,,waste
28,88,702.6,,waste
30,110,490.3,,waste
28,130,136.1,,waste
28,150,335.0,,waste
30,171,277.0,,waste
28,190,206.1,,waste
31,209,24.5,,waste
28,229,198.1,,waste
30,250,60.3,,waste
31,269,312.6,,waste
31,289,240.9,,waste
49,11,653.3,,waste
49,29,96.4,,waste
51,48,105.0,,waste
49,68,37.8,,waste
50,88,820.8,,waste
51,109,450.7,,waste
48,129,190.4,,waste
49,151,773.3,,waste
51,168,971.9,,waste
48,190,762.4,,waste
50,211,968.3,,waste
49,231,394.7,,waste
51,250,343.0,,waste
50,268,863.8,,waste
51,290,159.6,,ore
71,9,445.8,,waste
71,29,673.3,,waste
70,51,252.6,,waste
68,70,537.5,,waste
69,90,0.0,,waste
68,110,329.1,,waste
68,128,646.3,,waste
69,148,616.2,,waste
69,169,761.3,,waste
70,191,918.0,,waste
69,208,97.4,,ore
69,229,0.0,,ore
68,250,0.0,,ore
71,268,0.0,,ore
71,288,2.4,,ore
91,11,368.3,,waste
91,29,91.6,,waste
90,49,654.7,,waste
91,68,645.5,,waste
91,91,907.2,,waste
91,111,826.3,,waste
89,130,975.3,,waste
88,149,551.1,,waste
89,170,155.5,,ore
89,188,10.7,,ore
90,211,0.0,,ore
90,230,0.0,,ore
88,249,0.0,,ore
88,269,12.1,,ore
88,288,62.2,,ore
109,11,399.6,,waste
111,31,176.6,,waste
108,49,402.0,,waste
109,68,260.6,,waste
108,88,192.0,,waste
110,109,237.6,,waste
109,129,702.0,,waste
110,148,38.5,,waste
111,169,22.1,,ore
111,191,2.7,,ore
110,208,17.9,,ore
109,230,174.2,,waste
109,249,12.9,,waste
109,268,187.8,,waste
111,291,268.8,,waste
130,9,572.5,,waste
131,31,29.1,,waste
130,48,75.2,,waste
128,70,399.9,,waste
129,90,243.1,,waste
131,109,0.0,,waste
129,128,244.7,,waste
131,148,185.2,,waste
131,169,26.0,,ore
129,191,0.0,,ore
128,209,100.3,,ore
130,231,530.3,,waste
131,248,107.4,,waste
128,269,159.3,,waste
131,288,70.7,,waste
148,8,260.2,,waste
149,29,326.0,,waste
150,49,332.7,,waste
151,69,531.3,,waste
150,89,547.2,,waste
150,109,482.7,,waste
150,129,84.1,,waste
150,151,4.7,,waste
149,169,180.6,,waste
151,190,0.0,,ore
148,208,342.4,,waste
150,228,602.3,,waste
149,251,209.1,,waste
149,271,79.4,,waste
148,291,104.1,,waste
168,8,446.0,,waste
171,29,189.9,,waste
169,49,280.4,,waste
168,69,0.0,,ore
168,91,499.3,,waste
171,109,457.3,,waste
168,131,341.2,,waste
171,150,0.0,,waste
171,171,208.3,,waste
169,191,99.7,,ore
170,210,636.6,,waste
170,230,173.1,,waste
169,249,17.0,,waste
168,271,283.1,,waste
168,290,30.9,,ore
190,11,348.5,,waste
191,28,222.4,,waste
191,48,59.1,,waste
190,69,0.0,,ore
190,89,326.0,,waste
188,111,325.1,,waste
191,129,114.7,,waste
189,149,481.6,,waste
190,169,324.1,,waste
190,189,10.9,,ore
188,210,332.9,,waste
191,231,184.4,,waste
190,248,146.6,,waste
189,270,92.0,,ore
189,290,2.5,,ore
211,11,358.1,,waste
209,30,473.3,,waste
211,49,308.8,,waste
210,70,406.8,,waste
209,90,812.1,,waste
210,111,339.7,,waste
211,130,223.9,,waste
208,151,673.5,,waste
209,168,141.0,,waste
208,191,61.8,,ore
210,211,258.3,,waste
211,228,590.3,,waste
211,250,166.9,,waste
208,268,125.2,,waste
208,289,29.3,,ore
231,10,617.6,,waste
231,28,425.9,,waste
230,50,295.7,,waste
230,71,224.9,,waste
229,91,31.7,,ore
229,110,377.4,,waste
230,131,333.3,,waste
228,148,351.0,,waste
229,169,0.0,,ore
231,191,137.6,,waste
231,208,451.2,,waste
229,228,639.5,,waste
231,249,119.9,,waste
231,268,27.2,,ore
230,291,2.1,,ore
249,9,167.7,,waste
250,30,147.8,,waste
249,48,442.7,,waste
251,69,487.7,,waste
251,91,0.0,,ore
248,109,28.2,,ore
249,130,0.0,,ore
248,150,18.3,,ore
250,169,266.3,,waste
250,190,502.3,,waste
251,208,0.0,,waste
251,229,240.9,,waste
249,251,234.4,,waste
248,270,22.4,,ore
250,291,45.6,,ore
40,71,76.2,1.1,waste
21,69,284.3,7.8,waste
28,80,606.8,105.3,waste
29,59,772.7,1512.7,waste
41,81,269.5,9.8,waste
18,80,1036.7,860.4,waste
39,60,238.6,12.7,waste
18,60,519.4,177.1,waste
41,90,414.9,23.4,waste
21,90,601.4,173.1,waste
31,101,579.2,296.5,waste
41,100,601.4,300.6,waste
21,100,594.6,229.7,waste
60,8,550.1,258.3,waste
40,11,99.4,2.2,waste
51,18,233.6,14.2,waste
59,20,14.4,0.1,waste
41,21,115.9,3.1,waste
59,90,506.2,126.9,waste
51,101,502.4,73.8,waste
50,81,608.0,210.7,waste
59,101,363.9,30.4,waste
60,81,385.6,50.3,waste
60,151,1521.1,3691.8,waste
38,148,340.9,50.0,waste
50,160,879.1,474.2,waste
50,138,413.4,83.0,waste
61,158,868.9,983.8,waste
39,160,657.4,217.8,waste
61,139,477.0,71.5,waste
38,140,268.5,26.2,waste
61,170,806.4,301.1,waste
39,170,914.4,1548.5,waste
49,179,811.5,234.9,waste
58,179,1113.6,2154.7,waste
39,181,1008.0,3637.4,waste
60,191,1528.1,1930.9,waste
40,190,970.9,1391.1,waste
51,198,1109.0,1660.8,waste
60,198,1203.9,1813.7,waste
40,200,641.3,249.1,waste
58,208,720.6,1160.1,waste
38,209,665.3,547.8,waste
50,221,543.3,1066.6,waste
61,220,101.1,59.5,ore
39,221,615.9,420.9,waste
59,268,543.1,1714.2,waste
41,271,868.8,828.7,waste
49,278,583.0,1788.8,waste
51,260,670.7,3738.9,waste
59,281,148.8,675.0,ore
39,279,798.0,1182.1,waste
59,258,194.9,983.3,ore
38,260,635.2,766.6,waste
78,28,781.6,565.4,waste
60,29,238.6,12.7,waste
70,41,472.0,84.9,waste
70,21,58.1,0.3,waste
78,41,600.3,124.6,waste
61,41,64.9,0.8,waste
78,20,505.9,70.0,waste
80,131,801.6,421.1,waste
58,128,158.8,4.3,waste
71,140,606.3,175.1,waste
70,121,30.7,0.0,waste
79,138,730.1,1694.5,waste
80,119,421.2,35.1,waste
61,121,104.8,1.8,waste
79,149,44.1,0.0,waste
71,160,801.1,2535.0,waste
78,159,742.0,3371.5,waste
80,168,689.1,634.6,waste
69,181,424.6,762.6,waste
79,181,184.3,241.7,waste
80,188,245.2,431.1,waste
70,198,630.0,1992.1,waste
81,200,0.0,0.0,ore
100,48,48.7,0.0,waste
80,49,757.4,473.8,waste
90,58,739.8,280.2,waste
88,39,520.7,76.8,waste
100,60,0.0,0.0,waste
80,59,0.0,0.0,waste
101,38,730.5,464.0,waste
101,68,383.1,97.8,waste
79,70,508.8,103.9,waste
90,79,573.3,138.3,waste
100,78,372.4,70.9,waste
81,81,585.8,197.2,waste
100,91,397.2,38.9,waste
80,89,614.5,192.3,waste
91,99,734.9,159.6,waste
101,100,599.3,539.3,waste
81,98,181.2,1.3,waste
98,111,744.8,1987.0,waste
81,108,1022.3,643.0,waste
90,120,899.3,1290.3,waste
100,118,363.7,20.5,waste
98,130,513.2,263.9,waste
90,140,648.8,2147.5,waste
90,138,645.4,1927.1,waste
121,131,13.0,0.2,waste
111,140,190.3,48.8,waste
108,121,893.0,3070.9,waste
120,141,104.7,14.6,waste
119,118,150.4,16.9,waste
158,228,558.4,551.6,waste
140,229,558.0,513.9,waste
150,241,318.5,129.2,waste
151,218,394.3,239.2,waste
161,241,141.9,8.6,waste
141,240,112.5,4.6,waste
160,218,580.4,1118.7,waste
139,220,535.9,445.7,waste
178,211,398.2,561.8,waste
159,209,517.3,148.8,waste
169,221,427.2,197.2,waste
170,198,367.6,1429.8,waste
180,218,374.7,77.5,waste
178,201,144.8,81.3,waste
158,198,169.8,154.5,waste
219,88,235.1,136.9,waste
198,90,611.7,735.8,waste
211,100,746.4,710.6,waste
208,80,436.6,495.8,waste
221,99,540.9,586.8,waste
199,98,801.0,1419.0,waste
220,81,272.1,177.3,waste
198,78,204.1,86.0,waste
220,150,543.9,675.0,waste
200,150,606.2,381.1,waste
208,159,356.0,280.4,waste
210,140,440.9,330.3,waste
221,160,301.8,365.6,waste
198,161,369.4,154.5,waste
219,139,166.8,24.5,waste
200,139,230.9,42.2,waste
239,8,240.3,80.2,waste
218,8,737.1,1373.4,waste
229,19,518.6,147.7,waste
239,18,390.7,186.7,waste
218,18,797.4,1429.7,waste
238,229,602.6,1510.9,waste
218,228,430.8,265.2,waste
