Name,X,Y,Z,Depth From,Depth To,Length,AL2O3,ALT,BAO,CAO,Reagente,FE2O3,Recuperacao,MGO,NB2O5,P2O5,SIO2,TIO2
DH1,2634.56,1816.84,407.75,0,5,5,32.33,ALT1,0.16,0.16,716.00,17.50,13.35,0.10,0.07,1.06,18.65,4.55
DH1,2634.56,1816.84,402.75,5,10,5,30.17,ALT1,0.20,0.20,716.00,16.63,13.21,0.11,0.06,1.29,23.69,4.19
DH1,2634.56,1816.84,397.75,10,15,5,28.39,ALT1,0.26,0.24,722.50,15.84,13.20,0.12,0.06,1.60,28.66,3.86
DH1,2634.56,1816.84,392.75,15,20,5,28.05,ALT1,0.29,0.30,722.50,15.87,13.20,0.13,0.06,1.82,28.62,3.92
DH1,2634.56,1816.84,387.75,20,25,5,26.02,ALT1,0.42,0.42,724.75,17.88,13.16,0.17,0.09,2.45,26.02,4.94
DH1,2634.56,1816.84,382.75,25,30,5,24.40,ALT1,0.60,0.56,862.25,21.00,12.99,0.19,0.11,3.14,22.80,5.91
DH1,2634.56,1816.84,377.75,30,35,5,22.37,ALT1,0.70,0.68,627.00,24.46,11.36,0.21,0.15,3.75,19.09,7.28
DH1,2634.56,1816.84,372.75,35,40,5,21.72,ALT1,0.63,0.79,616.00,25.25,11.37,0.24,0.17,4.07,17.88,7.68
DH1,2634.56,1816.84,367.75,40,45,5,20.95,ALT1,0.56,0.90,699.25,26.50,11.71,0.26,0.18,4.38,16.50,8.03
DH1,2634.56,1816.84,362.75,45,50,5,19.73,ALT1,0.55,0.95,715.75,28.18,11.78,0.30,0.19,4.61,14.94,8.73
DH1,2634.56,1816.84,357.40,50,55.7,5.7,18.26,ALT1,0.55,0.89,717.75,30.42,11.55,0.37,0.20,4.60,13.70,9.83
DH1,2634.56,1816.84,327.05,80.7,85.7,5,3.93,ALT3,0.29,18.58,687.25,24.28,12.27,0.67,0.19,14.59,13.94,6.76
DH1,2634.56,1816.84,317.05,90.7,95.7,5,2.40,ALT3,0.13,9.63,704.75,26.86,11.73,1.25,0.20,7.38,24.73,13.27
DH1,2634.56,1816.84,312.05,95.7,100.7,5,3.68,ALT3,0.14,10.59,676.00,26.52,13.04,3.24,0.14,5.76,19.81,13.56
DH1,2634.56,1816.84,307.05,100.7,105.7,5,2.82,ALT3,0.08,6.14,701.00,35.93,11.68,2.76,0.18,3.24,20.00,15.22
DH1,2634.56,1816.84,302.05,105.7,110.7,5,2.18,ALT3,0.12,12.58,689.50,25.52,12.26,3.21,0.17,8.06,22.89,11.48
DH1,2634.56,1816.84,297.05,110.7,115.7,5,1.88,ALT3,0.13,17.72,690.00,14.58,12.21,4.34,0.15,10.37,27.45,7.91
DH1,2634.56,1816.84,292.05,115.7,120.7,5,2.10,ALT3,0.12,18.91,699.00,12.61,13.38,9.17,0.10,6.66,25.29,6.46
DH1,2634.56,1816.84,287.05,120.7,125.7,5,2.87,ALT3,0.13,17.08,693.75,20.09,12.25,7.03,0.17,9.66,15.70,9.98
DH1,2634.56,1816.84,282.05,125.7,130.7,5,1.98,ALT3,0.14,27.11,737.75,14.87,14.23,4.51,0.10,18.74,12.58,3.54
DH1,2634.56,1816.84,278.13,130.7,133.55,2.85,2.86,ALT3,0.15,19.85,722.00,14.81,13.33,7.32,0.09,12.29,19.83,3.85
DH1,2634.56,1816.84,274.20,133.55,138.55,5,1.05,ALT4,0.08,15.88,693.50,24.72,11.89,9.17,0.21,2.63,12.33,14.68
DH1,2634.56,1816.84,269.20,138.55,143.55,5,0.90,ALT4,0.09,13.89,720.00,32.80,11.75,7.39,0.19,2.19,11.36,15.28
DH1,2634.56,1816.84,263.38,143.55,150.2,6.65,1.61,ALT4,0.10,14.49,689.75,24.13,11.84,8.73,0.17,1.92,14.68,13.15
DH1,2634.56,1816.84,257.55,150.2,155.2,5,2.78,ALT3,0.11,19.73,742.00,20.18,13.33,5.68,0.13,10.71,17.05,6.39
DH1,2634.56,1816.84,252.55,155.2,160.2,5,1.61,ALT3,0.08,14.92,710.75,29.87,11.60,4.78,0.25,6.43,7.83,20.20
DH1,2634.56,1816.84,247.50,160.2,165.3,5.1,1.88,ALT3,0.07,17.87,681.25,22.23,12.34,6.76,0.16,9.65,12.88,11.61
DH1,2634.56,1816.84,243.63,165.3,167.95,2.65,0.66,ALT4,0.12,15.27,672.25,28.57,11.90,8.97,0.16,1.16,10.62,15.85
DH1,2634.56,1816.84,239.68,167.95,173.2,5.25,0.82,ALT5,0.25,19.75,693.25,19.51,11.82,10.06,0.15,0.90,11.98,13.48
DH103,4106.49,2084.92,429.25,0,5,5,36.70,ALT1,0.06,0.26,710.50,17.73,13.25,0.14,0.05,0.76,12.81,4.59
DH103,4106.49,2084.92,424.25,5,10,5,33.55,ALT1,0.11,0.14,710.50,15.34,13.21,0.09,0.04,0.89,23.23,3.75
DH103,4106.49,2084.92,419.25,10,15,5,31.14,ALT1,0.13,0.14,717.50,14.28,13.32,0.10,0.04,1.03,28.50,3.57
DH103,4106.49,2084.92,414.25,15,20,5,29.95,ALT1,0.19,0.18,716.00,14.00,13.21,0.11,0.04,1.32,30.24,3.77
DH103,4106.49,2084.92,409.25,20,25,5,28.35,ALT1,0.27,0.25,722.50,16.09,13.20,0.14,0.05,1.72,28.83,4.35
DH103,4106.49,2084.92,404.25,25,30,5,25.63,ALT1,0.36,0.32,722.50,21.66,13.16,0.14,0.06,2.24,24.40,5.08
DH103,4106.49,2084.92,400.25,30,33,3,22.97,ALT1,0.35,0.40,722.50,26.14,13.40,0.14,0.07,2.78,20.37,6.80
DH103,4106.49,2084.92,396.25,33,38,5,13.83,ALT2,0.31,0.41,683.75,40.06,13.68,0.21,0.14,3.43,10.43,11.92
